canonical_id,path,display_name,parent_path,source
cebydviefa4lpellq0sns63h,/tx/anderson-county/tennessee-colony/,Tennessee Colony,/tx/anderson-county/,https://www.tshaonline.org/handbook/entries/tennessee-colony-tx
czrvjmpgqjzd89lpb01weszr,/tx/angelina-county/pollok/,Pollok,/tx/angelina-county/,https://www.tshaonline.org/handbook/entries/pollok-tx
cyoetcck4uszov6w25j20qsy,/tx/austin-county/bleiblerville/,Bleiblerville,/tx/austin-county/,https://www.tshaonline.org/handbook/entries/bleiblerville-tx
c9rpxq48do8r6bznlzzoxc9a,/tx/bandera-county/medina/,Medina,/tx/bandera-county/,https://www.tshaonline.org/handbook/entries/medina-tx
cmn3kx7ma1l18ncza1nm472c,/tx/bexar-county/atascosa/,Atascosa,/tx/bexar-county/,https://www.tshaonline.org/handbook/entries/atascosa-tx
c7xzao9sb9hx98xx4pllggiw,/tx/bowie-county/simms/,Simms,/tx/bowie-county/,https://agrilifeextension.tamu.edu/counties/bowie-county/
c4sg6y6qtu6n5qyvozq0x1lr,/tx/caldwell-county/maxwell/,Maxwell,/tx/caldwell-county/,https://www.tshaonline.org/handbook/entries/maxwell-tx
cca8mn5tsr2wruitzupdr6v8,/tx/coryell-county/jonesboro/,Jonesboro,/tx/coryell-county/,https://www.tshaonline.org/handbook/entries/jonesboro-tx
cq7b30jimjccjkya3zraf08c,/tx/fannin-county/ivanhoe/,Ivanhoe,/tx/fannin-county/,https://www.tshaonline.org/handbook/entries/ivanhoe-tx
cfqgw2h4xfaofuc6ktoskkds,/tx/hardin-county/batson/,Batson,/tx/hardin-county/,https://www.tshaonline.org/handbook/entries/batson-tx
c35ec2qoiasemubuq49itx0q,/tx/hardin-county/saratoga/,Saratoga,/tx/hardin-county/,https://www.tshaonline.org/handbook/entries/saratoga-tx
c9l7ykyzrt0b3g60yo0lbcpp,/tx/harris-county/cypress/,Cypress,/tx/harris-county/,https://historicalcommission.harriscountytx.gov/portals/historicalcommission/documents/Communities%20in%20Markers.pdf
csqaiecep7o9ld1p8yhl0fp8,/tx/harris-county/huffman/,Huffman,/tx/harris-county/,https://www.tshaonline.org/handbook/entries/huffman-tx
c85adbz470xah2yg9aq4hwm0,/tx/harrison-county/elysian-fields/,Elysian Fields,/tx/harrison-county/,https://www.tshaonline.org/handbook/entries/elysian-fields-tx
ceiyvygvkxovcm14yhiahtn8,/tx/henderson-county/larue/,Larue,/tx/henderson-county/,https://www.tshaonline.org/handbook/entries/larue-tx
c6cv7n6snp0ofa9tkpcf8a1g,/tx/hopkins-county/saltillo/,Saltillo,/tx/hopkins-county/,https://www.tshaonline.org/handbook/entries/saltillo-tx
cg8q2ja60vcyljwl5r8rtdws,/tx/hopkins-county/sulphur-bluff/,Sulphur Bluff,/tx/hopkins-county/,https://www.tshaonline.org/handbook/entries/sulphur-bluff-tx
cn3uivb9vpui4jslg74rfir8,/tx/hunt-county/merit/,Merit,/tx/hunt-county/,https://www.tshaonline.org/handbook/entries/merit-tx
cs20rcf9h3xt6r1vazc6b5zh,/tx/lamar-county/pattonville/,Pattonville,/tx/lamar-county/,https://www.tshaonline.org/handbook/entries/pattonville-tx
c37meosi2cxt2akvo2izqqhk,/tx/matagorda-county/el-maton/,El Maton,/tx/matagorda-county/,https://www.tshaonline.org/handbook/entries/elmaton-tx
cvdd6yendnfj9rysptq694mq,/tx/montgomery-county/new-caney/,New Caney,/tx/montgomery-county/,https://www.tshaonline.org/handbook/entries/new-caney-tx
cdzf17qhp3a2tkeixrbrdw8s,/tx/nacogdoches-county/douglass/,Douglass,/tx/nacogdoches-county/,https://www.tshaonline.org/handbook/entries/douglass-tx
ca6g6b78wb5y8kkmch0ldfed,/tx/nacogdoches-county/woden/,Woden,/tx/nacogdoches-county/,https://www.tshaonline.org/handbook/entries/woden-tx
cl1w33eaqrdzz7xwe3vtvjle,/tx/polk-county/moscow/,Moscow,/tx/polk-county/,https://www.tshaonline.org/handbook/entries/moscow-tx
cphk29lo3a68o784i1zmh814,/tx/travis-county/del-valle/,Del Valle,/tx/travis-county/,https://www.tshaonline.org/handbook/entries/del-valle-tx
c21a6lh1qrc2cr6l5hmkqqtj,/tx/trinity-county/apple-springs/,Apple Springs,/tx/trinity-county/,https://www.tshaonline.org/handbook/entries/apple-springs-tx
c8afg1ibx72too0y6uk2kzcx,/tx/uvalde-county/concan/,Concan,/tx/uvalde-county/,https://www.tshaonline.org/handbook/entries/concan-tx
cqkcch069qcbfwm5knncnhlf,/tx/mclennan-county/axtell/,Axtell,/tx/mclennan-county/,https://www.tshaonline.org/handbook/entries/axtell-tx
cj6pzdiuubwalniesh19pbs0,/tx/upton-county/midkiff/,Midkiff,/tx/upton-county/,https://atlas.thc.texas.gov/Details/5507013883
